factories_id;machines_id;maintenance_date;technician;factories_name;location;machines_type;capacity;purchase_date;maintenancelogs_id;details_maintenancelogs;log_date
40;26;2025/01/04;Mary Griffin;Perez-Bell;Nancyport;Press;48;2025/02/20;619;Line range pass best size consumer student want goal.;2025/01/29
25;86;2025/01/06;Amanda Perez;Lewis, Lang and Martinez;West Christopherberg;Lathe;87;2025/01/25;1087;Animal study mention painting above.;2025/01/04
38;9;2025/01/08;Rebecca Dudley;Clark, Savage and Mason;Wernerview;Lathe;64;2025/01/22;1051;Right remember director particularly human between cold child scene.;2025/02/08
2;197;2025/02/19;Alexis Moore;Young, Miles and Mendez;Port Kathleen;CNC;52;2025/01/20;1221;Evening yourself table door it.;2025/01/13
30;142;2025/02/07;Edward Welch;Davila, Sanders and Garcia;North Annabury;Lathe;50;2025/02/19;1154;Decide customer difference night level assume father go student class.;2025/02/12
18;38;2025/01/26;Kurt Rice;Lee-Hunter;Gordonland;Lathe;45;2025/01/17;1200;Simply collection system its plant resource single.;2025/02/04
17;50;2025/02/04;Kevin Ryan;Gray-Sanchez;Lisafurt;CNC;40;2025/02/16;687;Like for image nice opportunity.;2025/02/21
9;163;2025/02/15;Connie Blanchard;Alvarez-Pearson;New Matthewfurt;Press;29;2025/01/18;1077;Plan as after career suddenly.;2025/02/14
7;40;2025/02/12;April Nguyen;Ross-Bell;East Robertchester;CNC;64;2025/02/07;740;During focus newspaper box fine stand night.;2025/01/07
48;97;2025/01/01;Kimberly Whitehead;Lewis-Taylor;Port Christopherton;CNC;68;2025/01/12;444;Writer nor because whether show write remain.;2025/01/25
27;159;2025/02/03;Yvette Hamilton;Hall, Anderson and Williams;Rodriguezville;Press;88;2025/01/26;738;Case sing smile social rule despite population enjoy.;2025/01/05
12;33;2025/02/03;Jessica Mathews;Hampton Ltd;Ochoaland;CNC;62;2025/02/18;1199;Each move where memory natural officer family fly investment deep.;2025/02/22
50;35;2025/01/25;Martha Stewart;Murphy-Morton;Davidland;Press;61;2025/01/31;439;Through politics media chance into experience.;2025/01/04
33;110;2025/01/25;Emily Torres MD;George-Berry;New Jefferystad;CNC;73;2025/01/11;1123;In travel perform media possible chair.;2025/01/27
3;107;2025/01/26;Reginald Reese;Williams-Evans;Port Traciefurt;Lathe;63;2025/01/06;714;Let behavior value blood rock middle group no stay.;2025/01/03
20;89;2025/02/06;Ryan Tate;Mcgrath Group;Lake Samanthastad;Lathe;66;2025/01/31;1467;Television claim color may time where politics pretty election hospital.;2025/02/21
3;41;2025/02/11;Kurt Phillips;Williams-Evans;Port Traciefurt;CNC;31;2025/01/18;377;Chance star available evening wish fall article respond.;2025/02/04
38;181;2025/02/02;Victoria Foster;Clark, Savage and Mason;Wernerview;Lathe;21;2025/02/02;529;Politics Mr east traditional herself lose.;2025/01/12
8;13;2025/02/14;Deborah Evans;Chambers-Jackson;Spencerview;Lathe;84;2025/01/01;1202;Face community tend chair upon service forget.;2025/01/29
46;58;2025/01/22;Kenneth Malone;Ray LLC;Mooreshire;Lathe;17;2025/02/20;12;Surface growth message attack someone nation word assume.;2025/01/05
6;150;2025/02/13;Keith Brown;Powers-Phillips;New Rebecca;Lathe;14;2025/01/19;724;Everything chair read none that think magazine.;2025/01/16
46;88;2025/02/13;John Fletcher;Ray LLC;Mooreshire;CNC;45;2025/02/12;958;Edge drug trouble put activity American car sister can now.;2025/02/19
43;183;2025/01/28;Kathryn Gilbert;Brown Ltd;Caseyshire;CNC;51;2025/02/09;435;Dog culture then bill resource PM key situation home hundred.;2025/01/29
42;24;2025/02/06;James Vaughn;Vincent, Nelson and Wang;North Amy;Lathe;64;2025/01/25;1135;Behavior we everyone artist conference.;2025/01/30
17;88;2025/02/16;Rita Snow;Gray-Sanchez;Lisafurt;CNC;45;2025/02/12;958;Edge drug trouble put activity American car sister can now.;2025/02/19
5;165;2025/01/01;Michael Hall;Hoffman-Gregory;North Alyssabury;Lathe;76;2025/02/20;652;Mind trouble six go say.;2025/02/17
15;153;2025/01/27;Jonathan Burnett;Allen, Gonzalez and Harris;New Victoria;CNC;60;2025/02/17;716;Performance over now trial economy present sing bag player name.;2025/01/24
20;173;2025/02/10;Daniel Clark;Mcgrath Group;Lake Samanthastad;Lathe;66;2025/01/07;267;Kid campaign situation final magazine couple citizen open.;2025/01/27
21;8;2025/02/10;Ian Glass;Shaw LLC;Lake Roger;Press;53;2025/02/10;443;Crime itself affect require do early career establish usually behind.;2025/01/02
25;46;2025/01/10;Amanda Rowe;Lewis, Lang and Martinez;West Christopherberg;Lathe;78;2025/01/04;664;Standard person local television next training source.;2025/01/14
18;145;2025/02/06;Cassandra Jordan;Lee-Hunter;Gordonland;CNC;67;2025/01/24;376;Very attention fish spring white behind executive.;2025/01/21
47;64;2025/02/11;Jessica Hammond;Henderson LLC;North Jonathanview;Lathe;48;2025/02/13;845;Culture other mind site add particularly east example.;2025/01/15
28;49;2025/01/12;Benjamin Peck;Mcdaniel-Wilson;Port Bethany;Press;11;2025/02/14;711;West happy pretty shake less attention whatever modern share response.;2025/01/03
25;22;2025/01/01;Joy Wilson;Lewis, Lang and Martinez;West Christopherberg;CNC;10;2025/02/15;259;West get seem marriage tell left town.;2025/02/03
24;88;2025/01/31;Ashley Jones;White LLC;North Kaitlynville;CNC;45;2025/02/12;958;Edge drug trouble put activity American car sister can now.;2025/02/19
36;28;2025/01/11;Latoya Gonzalez;Hubbard Ltd;South Heatherbury;Lathe;63;2025/02/02;237;Newspaper smile choose whom morning reason position.;2025/02/08
27;147;2025/02/02;Linda Payne;Hall, Anderson and Williams;Rodriguezville;Lathe;75;2025/02/15;768;Population hotel piece put still perhaps message eight father.;2025/02/02
7;196;2025/01/29;Sherry Maldonado;Ross-Bell;East Robertchester;Press;55;2025/02/20;868;Down sort head head Congress.;2025/01/04
39;139;2025/02/04;Nicholas Morris;Knight-Larson;South Sally;Lathe;35;2025/01/25;1243;Head work tree pull.;2025/02/02
41;154;2025/01/10;Joseph Holmes;Jenkins-Cruz;Griffinburgh;CNC;30;2025/01/18;959;Peace must hit as need water both friend.;2025/01/14
18;59;2025/02/08;Jacob Mullins;Lee-Hunter;Gordonland;CNC;17;2025/01/19;1377;Special account side someone focus side hit.;2025/02/07
14;173;2025/02/17;Jose Huff;Stevens-Harrison;North Julie;Lathe;66;2025/01/07;267;Kid campaign situation final magazine couple citizen open.;2025/01/27
12;66;2025/02/09;Sandra Thompson;Hampton Ltd;Ochoaland;Lathe;29;2025/01/01;1424;Voice fill yard while someone together cut source.;2025/01/22
32;182;2025/02/14;Leah Goodwin;Farmer, Barnes and Sexton;Lake Jaimeberg;Press;39;2025/01/02;7;Enough end threat reach table note.;2025/01/20
33;102;2025/01/22;Joshua Gray;George-Berry;New Jefferystad;CNC;64;2025/01/20;1202;Face community tend chair upon service forget.;2025/01/29
42;20;2025/01/09;Mr. Kevin Scott II;Vincent, Nelson and Wang;North Amy;Press;37;2025/02/08;738;Case sing smile social rule despite population enjoy.;2025/01/05
5;69;2025/01/06;Eugene Moran;Hoffman-Gregory;North Alyssabury;Press;96;2025/01/14;40;Indeed grow each listen quality process modern give miss during.;2025/01/29
3;144;2025/01/13;Andre Brown;Williams-Evans;Port Traciefurt;CNC;82;2025/02/12;963;Here authority movie off such significant show.;2025/02/02
14;4;2025/02/08;Melanie Murray;Stevens-Harrison;North Julie;Lathe;98;2025/02/20;343;High leader section compare keep.;2025/01/30
38;110;2025/01/18;James Taylor;Clark, Savage and Mason;Wernerview;CNC;73;2025/01/11;1123;In travel perform media possible chair.;2025/01/27
26;9;2025/01/28;Dean Smith;Coleman-Santos;Nathanville;Lathe;64;2025/01/22;1051;Right remember director particularly human between cold child scene.;2025/02/08
36;45;2025/01/05;Chelsey Thomas;Hubbard Ltd;South Heatherbury;Lathe;39;2025/01/08;1076;Star somebody yeah while class statement.;2025/01/04
34;96;2025/02/19;Robert Griffith PhD;West, Morgan and Robbins;Robertfort;CNC;17;2025/02/05;968;Majority still tell clearly their simple central unit sea.;2025/02/13
17;7;2025/02/20;Matthew Riley;Gray-Sanchez;Lisafurt;Lathe;54;2025/02/09;446;Office million sign book herself method.;2025/01/21
34;192;2025/01/15;Robert Acosta;West, Morgan and Robbins;Robertfort;CNC;79;2025/01/02;1184;Race do Democrat probably middle situation toward per player than.;2025/01/10
26;186;2025/01/02;Allison Perry;Coleman-Santos;Nathanville;Press;99;2025/01/13;299;Traditional low enjoy he police door present stock out kitchen.;2025/01/24
31;66;2025/02/22;George Hayden;Stewart-Palmer;Port Barbara;Lathe;29;2025/01/01;1424;Voice fill yard while someone together cut source.;2025/01/22
